, 98, 36, 11178, 7129, 4049, 66, 244.72, P2
2020/07/17 12:08:31.738, 83, 47, 11178, 7129, 4049, 70, 259.71, P2
2020/07/17 12:08:31.740, 99, 37, 11176, 5282, 5894, 81, 240.56, P2
2020/07/17 12:08:32.742, 82, 41, 11178, 7129, 4049, 70, 244.62, P2
2020/07/17 12:08:32.753, 74, 25, 11176, 5282, 5894, 81, 244.25, P2
2020/07/17 12:08:33.761, 98, 44, 11178, 7129, 4049, 70, 146.69, P2
2020/07/17 12:08:33.766, 76, 14, 11176, 5282, 5894, 81, 175.36, P2
2020/07/17 12:08:34.768, 98, 38, 11178, 7129, 4049, 69, 257.30, P2
2020/07/17 12:08:34.770, 76, 21, 11176, 5282, 5894, 80, 258.91, P2
2020/07/17 12:08:35.777, 98, 52, 11178, 7129, 4049, 70, 101.27, P2
2020/07/17 12:08:35.779, 89, 38, 11176, 5282, 5894, 80, 121.80, P2
2020/07/17 12:08:36.781, 89, 47, 11178, 7129, 4049, 70, 167.99, P2
2020/07/17 12:08:36.788, 99, 46, 11176, 5282, 5894, 81, 95.84, P2
2020/07/17 12:08:37.793, 83, 52, 11178, 7129, 4049, 70, 105.05, P2
2020/07/17 12:08:37.796, 99, 51, 11176, 5282, 5894, 81, 105.01, P2
2020/07/17 12:08:38.803, 83, 46, 11178, 7129, 4049, 70, 234.50, P2
2020/07/17 12:08:38.805, 99, 38, 11176, 5282, 5894, 81, 216.06, P2
2020/07/17 12:08:39.810, 83, 43, 11178, 7129, 4049, 70, 251.81, P2
2020/07/17 12:08:39.812, 73, 25, 11176, 5282, 5894, 81, 264.92, P2
2020/07/17 12:08:40.815, 98, 43, 11178, 7129, 4049, 70, 224.68, P2
2020/07/17 12:08:40.819, 76, 14, 11176, 5282, 5894, 81, 247.42, P2
2020/07/17 12:08:41.821, 98, 39, 11178, 7129, 4049, 70, 273.70, P2
2020/07/17 12:08:41.824, 76, 24, 11176, 5282, 5894, 81, 279.83, P2
2020/07/17 12:08:42.826, 98, 52, 11178, 7129, 4049, 69, 94.88, P2
2020/07/17 12:08:42.828, 95, 41, 11176, 5282, 5894, 80, 96.63, P2
2020/07/17 12:08:43.830, 83, 52, 11178, 7129, 4049, 70, 112.12, P2
2020/07/17 12:08:43.833, 99, 50, 11176, 5282, 5894, 81, 116.63, P2
2020/07/17 12:08:44.835, 83, 41, 11178, 7129, 4049, 70, 230.81, P2
2020/07/17 12:08:44.837, 94, 33, 11176, 5282, 5894, 81, 259.08, P2
2020/07/17 12:08:45.839, 88, 47, 11178, 7129, 4049, 70, 240.67, P2
2020/07/17 12:08:45.851, 76, 24, 11176, 5282, 5894, 81, 256.39, P2
2020/07/17 12:08:46.857, 98, 39, 11178, 7129, 4049, 70, 221.88, P2
2020/07/17 12:08:46.865, 76, 13, 11176, 5282, 5894, 81, 241.00, P2
2020/07/17 12:08:47.867, 96, 41, 11178, 7129, 4049, 70, 258.85, P2
2020/07/17 12:08:47.869, 74, 28, 11176, 5282, 5894, 81, 280.88, P2
2020/07/17 12:08:48.875, 98, 51, 11178, 7129, 4049, 69, 146.62, P2
2020/07/17 12:08:48.877, 99, 45, 11176, 5282, 5894, 81, 160.76, P2
2020/07/17 12:08:49.879, 84, 45, 11178, 7129, 4049, 70, 168.37, P2
2020/07/17 12:08:49.881, 99, 51, 11176, 5282, 5894, 81, 94.97, P2
2020/07/17 12:08:50.883, 83, 53, 11178, 7129, 4049, 70, 107.57, P2
2020/07/17 12:08:50.885, 99, 47, 11176, 5282, 5894, 81, 107.05, P2
2020/07/17 12:08:51.888, 83, 44, 11178, 7129, 4049, 70, 252.31, P2
2020/07/17 12:08:51.891, 90, 31, 11176, 5282, 5894, 81, 254.44, P2
2020/07/17 12:08:52.893, 87, 45, 11178, 7129, 4049, 70, 246.26, P2
2020/07/17 12:08:52.899, 76, 23, 11176, 5282, 5894, 81, 245.33, P2
2020/07/17 12:08:53.901, 98, 39, 11178, 7129, 4049, 70, 124.35, P2
2020/07/17 12:08:53.903, 76, 13, 11176, 5282, 5894, 81, 139.49, P2
2020/07/17 12:08:54.905, 97, 43, 11178, 7129, 4049, 70, 256.79, P2
2020/07/17 12:08:54.907, 76, 30, 11176, 5282, 5894, 81, 256.97, P2
2020/07/17 12:08:55.915, 98, 47, 11178, 7129, 4049, 70, 101.27, P2
2020/07/17 12:08:55.918, 99, 45, 11176, 5282, 5894, 81, 98.64, P2
2020/07/17 12:08:56.920, 83, 48, 11178, 7129, 4049, 70, 172.34, P2
2020/07/17 12:08:56.928, 99, 51, 11176, 5282, 5894, 81, 93.99, P2
2020/07/17 12:08:57.930, 83, 53, 11178, 7129, 4049, 70, 105.90, P2
2020/07/17 12:08:57.932, 99, 45, 11176, 5282, 5894, 81, 106.83, P2
2020/07/17 12:08:58.934, 11, 0, 11178, 7129, 4049, 68, 84.46, P2
