timestamp, utilization.gpu [%], utilization.memory [%], memory.total [MiB], memory.used [MiB], memory.free [MiB], power.draw [W]
2020/06/08 18:53:09.978, 99, 61, 11178, 10761, 417, 258.38
2020/06/08 18:53:09.980, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:53:14.984, 97, 77, 11178, 10761, 417, 268.55
2020/06/08 18:53:14.988, 0, 0, 11176, 170, 11006, 12.23
2020/06/08 18:53:19.997, 100, 69, 11178, 10761, 417, 275.35
2020/06/08 18:53:19.999, 0, 0, 11176, 170, 11006, 12.33
2020/06/08 18:53:25.006, 99, 67, 11178, 10761, 417, 273.59
2020/06/08 18:53:25.009, 0, 0, 11176, 170, 11006, 12.23
2020/06/08 18:53:30.012, 100, 69, 11178, 10761, 417, 256.98
2020/06/08 18:53:30.021, 0, 0, 11176, 170, 11006, 11.65
2020/06/08 18:53:35.024, 100, 68, 11178, 10761, 417, 267.51
2020/06/08 18:53:35.029, 0, 0, 11176, 170, 11006, 11.55
2020/06/08 18:53:40.032, 100, 68, 11178, 10761, 417, 278.17
2020/06/08 18:53:40.034, 0, 0, 11176, 170, 11006, 10.97
2020/06/08 18:53:45.038, 99, 71, 11178, 10761, 417, 256.91
2020/06/08 18:53:45.040, 0, 0, 11176, 170, 11006, 11.26
2020/06/08 18:53:50.044, 100, 67, 11178, 10761, 417, 274.27
2020/06/08 18:53:50.046, 0, 0, 11176, 170, 11006, 13.68
2020/06/08 18:53:55.050, 99, 61, 11178, 10761, 417, 178.11
2020/06/08 18:53:55.052, 0, 0, 11176, 170, 11006, 13.98
2020/06/08 18:54:00.056, 97, 77, 11178, 10761, 417, 265.22
2020/06/08 18:54:00.058, 0, 0, 11176, 170, 11006, 12.23
2020/06/08 18:54:05.062, 99, 62, 11178, 10761, 417, 186.07
2020/06/08 18:54:05.064, 0, 0, 11176, 170, 11006, 12.23
2020/06/08 18:54:10.068, 98, 74, 11178, 10761, 417, 240.89
2020/06/08 18:54:10.076, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:54:15.085, 99, 61, 11178, 10761, 417, 206.95
2020/06/08 18:54:15.087, 0, 0, 11176, 170, 11006, 11.56
2020/06/08 18:54:20.090, 97, 75, 11178, 10761, 417, 280.49
2020/06/08 18:54:20.099, 0, 0, 11176, 170, 11006, 11.16
2020/06/08 18:54:25.106, 99, 61, 11178, 10761, 417, 279.28
2020/06/08 18:54:25.108, 0, 0, 11176, 170, 11006, 11.07
2020/06/08 18:54:30.112, 99, 67, 11178, 10761, 417, 268.74
2020/06/08 18:54:30.114, 0, 0, 11176, 170, 11006, 11.45
2020/06/08 18:54:35.125, 100, 68, 11178, 10761, 417, 270.14
2020/06/08 18:54:35.127, 0, 0, 11176, 170, 11006, 11.84
2020/06/08 18:54:40.131, 97, 69, 11178, 10761, 417, 267.51
2020/06/08 18:54:40.134, 0, 0, 11176, 170, 11006, 12.43
2020/06/08 18:54:45.137, 100, 67, 11178, 10761, 417, 257.30
2020/06/08 18:54:45.139, 0, 0, 11176, 170, 11006, 12.52
2020/06/08 18:54:50.143, 97, 72, 11178, 10761, 417, 272.39
2020/06/08 18:54:50.145, 0, 0, 11176, 170, 11006, 12.04
2020/06/08 18:54:55.149, 100, 66, 11178, 10761, 417, 264.42
